OrderDate,Region,Carrier,TransportMode,DistanceKM,ShipmentVolumeUnits,WarehouseHandlingHrs,FuelSurchargePct,DeliveryTimeHrs
2025-01-01 00:00:00.000000000,East,Carrier A,Air,520.07,43,7.59,14.71,6.43
2025-01-01 10:56:01.201501877,West,Carrier B,Road,842.26,95,6.77,6.45,21.36
2025-01-01 21:52:02.403003754,North,Carrier A,Rail,605.31,91,4.74,4.28,15.04
2025-01-02 08:48:03.604505632,East,Carrier A,Rail,919.74,11,7.83,7.01,18.11
2025-01-02 19:44:04.806007509,East,Carrier B,Road,220.09,49,6.49,15.59,10.39
2025-01-03 06:40:06.007509386,West,Carrier D,Air,1321.7,38,9.06,3.42,7.16
2025-01-03 17:36:07.209011264,North,Carrier D,Sea,215.65,64,8.36,17.87,15.03
2025-01-04 04:32:08.410513141,North,Carrier A,Sea,2010.87,69,3.28,10.66,58.58
2025-01-04 15:28:09.612015018,East,Carrier B,Rail,622.59,8,3.44,17.76,14.58
2025-01-05 02:24:10.813516896,South,Carrier A,Road,1373.03,34,2.13,17.02,23.84
2025-01-05 13:20:12.015018773,East,Carrier C,Sea,2206.19,48,4.03,9.25,68.04
2025-01-06 00:16:13.216520650,East,Carrier C,Sea,1644.65,56,10.0,5.18,59.67
2025-01-06 11:12:14.418022528,East,Carrier A,Road,1355.75,76,4.65,4.64,27.03
2025-01-06 22:08:15.619524405,East,Carrier D,Sea,844.62,65,2.98,5.84,25.22
2025-01-07 09:04:16.821026282,West,Carrier D,Sea,865.85,31,7.86,13.36,30.52
2025-01-07 20:00:18.022528160,North,Carrier A,Rail,1690.24,4,5.88,6.37,28.96
2025-01-08 06:56:19.224030037,West,Carrier A,Rail,2485.64,50,2.35,7.46,38.99
2025-01-08 17:52:20.425531914,West,Carrier C,Road,1671.51,69,4.43,9.18,33.57
2025-01-09 04:48:21.627033792,West,Carrier D,Road,1416.57,30,4.73,16.61,28.02
2025-01-09 15:44:22.828535669,East,Carrier A,Road,1840.09,88,7.78,5.03,36.8
